Any,Precip_Acum_Gener,Precip_Acum_Febrer,Precip_Acum_Marc,Precip_Acum_Abril,Precip_Acum_Maig,Precip_Acum_Juny,Precip_Acum_Juliol,Precip_Acum_Agost,Precip_Acum_Setembre,Precip_Acum_Octubre,Precip_Acum_Novembre,Precip_Acum_Desembre
1843,  7.2,76.0,104.9,69.1,74.6,29.9,16.2,10.4,198.0,47.9,88.8,  0.0
1844,18.3,28.4,40.8,40.4,86.1,40.3,31.4,16.0,213.7,166.3,19.5,66.8
1845,63.2,14.8,72.9,66.6,49.3,41.2,10.5,81.3,97.0,43.2,99.1,  9.9
1846,10.5,  2.3,31.2,59.4,86.4,41.8,14.3,53.7,96.2,147.6,82.7,24.9
1847,50.7,  7.7,50.9,59.9,35.7,18.5,  0.9,38.7,23.1,152.7,45.0,72.3
1848,39.8,34.7,35.6,127.9,49.2,69.5,13.4,12.7,120.6,95.8,24.8,35.2
1849,38.2, 1.4,43.5,88.5,51.0,17.5,26.5,54.2,199.9,74.0,44.0,40.6
1850,22.4,  1.5,  9.7,67.5,65.6,22.9,17.8,38.9,113.6,55.8,23.4,  2.2
1851,41.4,96.1,21.6,77.6,44.3,  4.2,49.2,  7.4,83.7,66.9,51.7,  0.0
1852,40.5,  2.1,16.4,89.9,47.6,76.9,37.5,35.0,94.6,82.4,52.2,  9.0
1853,59.9,53.3,58.3,29.3,188.4,41.8,  1.0,19.9,103.6,151.6,140.9,10.6
1854,12.4,  0.0,15.0,131.6,50.6,56.9,41.2,48.2,22.5,  0.5,49.4,  7.6
1855,36.9,64.8,55.1,  3.9,98.3,95.7,11.7,  9.7,73.3,40.3,108.8,21.5
1856,60.4,43.7,134.3,47.9,72.7,183.3,58.3,  0.0,54.7,148.0,27.6,  5.6
1857,36.5,65.3,141.8,34.0,67.6,18.6,47.9,79.7,190.7,20.3,105.0,31.2
1858,21.5,45.4,14.4,18.8,75.5,  3.1,101.0,86.0,37.0,72.5,39.3,53.9
1859,  0.0,10.9,45.7,14.2,59.6,38.8,  4.0,51.2,101.6,56.4,110.6,66.8
1860,32.1,27.2,  5.9,101.4,76.2,79.8,55.8,10.9,24.9,  5.9,142.5,10.4
1861,58.5,50.6,81.9,66.8,19.8,58.9,  6.6,  0.0,60.2,155.4,  9.5,57.7
1862,11.0,31.6,37.6,36.7,81.2,46.4,  2.1,101.9,285.6,73.7,60.5,  6.6
1863,37.6,12.6,44.2,28.8,89.4,  9.1,23.3,11.6,62.4,82.2,45.9,28.7
1864,63.2,30.3,13.1,  8.4,15.3,  7.5,  0.0,  0.6,55.1,105.7,86.4,180.5
1865,  7.9,  4.0,93.9,71.5,24.7,  4.5,30.3,45.2,110.9,81.2,25.2,42.0
1866,  9.7,  9.7,49.9,15.7,  0.8,38.0,  6.5,  7.3,171.5,227.4,  1.6,42.1
1867,54.8,22.4,21.8,  7.0,19.7,10.2,40.7,36.2,63.7,35.2,32.8,  8.1
1868,  0.0,  0.8,  4.0,40.0,74.1,19.4,43.9,47.1,73.9,121.9,42.5,14.7
1869,25.0,79.3,52.2,39.1,21.5,25.2,16.0,27.5,10.7,40.7,  0.0,49.0
1870,54.2,75.7,35.2,94.0,  7.9,  7.4,28.5,101.2,24.9,68.8,64.5,30.9
1871,39.4,61.2,64.5,  1.5,65.5,88.3,  0.0,45.4,104.6,38.7,128.6,51.7
1872,20.6,37.1,84.9,25.2,108.8,  5.5,38.6,172.7,89.1,328.6,12.0,56.9
1873,  9.7,38.4,25.0,146.8,11.6,  5.4,  1.1,  0.0,111.5,64.9,36.8,  1.5
1874,52.0,44.9,45.3,53.2,54.1,15.2,49.2,18.6,106.5,123.5,36.4,13.6
1875,  0.1,70.0,23.3,58.8,11.4,148.9,84.8,18.0,338.5,98.9,57.1,17.6
1876,60.4,25.8,79.6,103.4,151.8,51.4,  0.0,  4.1,33.8,184.9,23.8,14.4
1877,  2.3,  0.0,24.7,76.4,24.3,23.9,22.1,37.2,57.2,35.4,31.3,26.2
1878,  3.2,  2.8,11.5,26.6,15.9,13.5,14.9,  2.2,119.7,83.2,17.3,18.4
1879,97.9,56.1,49.2,33.8,40.0,  0.0,  3.4,93.1,119.9,121.3,91.3,11.4
1880,14.8,  2.8,66.6,91.9,16.5,42.8,  0.0,55.7,44.0,26.1,143.7,  8.5
1881,107.3,96.8,13.1,85.1,12.9,  4.7,  0.2,21.1,138.4,45.2,  2.2,44.7
1882,48.5,103.1,15.8,83.7,15.4,13.6,28.4,90.0,155.1,78.7,  0.6,54.8
1883,69.4,34.6,42.9,63.8,24.1,49.0,20.6,  0.0,70.2,102.8,38.0,27.4
1884,20.4,58.2,93.9,89.9,63.3,100.9,  9.7,19.4,90.5,41.5,52.8,55.9
1885,20.4,12.5,55.3,58.6,10.3,99.9,23.6,  9.7,109.0,64.0,55.3,17.7
1886,15.8,48.3,37.8,27.2,  6.4,53.8,16.2,14.9,49.8,64.8,30.2,  8.5
1887,37.4,26.3,30.1,81.5,37.4,  4.1,84.6,  2.9,100.7,32.3,44.6,64.8
1888,32.3,29.3,  0.0,74.6,  6.8,97.6,34.7,18.7,116.8,37.0,48.9,102.6
1889,55.2,50.4,26.7,68.2,38.4,44.7,39.3,31.5,16.4,146.4,  8.9,79.2
1890,47.8,75.8,41.8,101.5,30.2,  3.5,49.8,82.6,168.8,30.1,14.4,53.1
1891,32.7,  3.4,28.0,71.3,61.7,36.1,52.4,21.2,137.2,176.6,70.1,67.1
1892,58.7,72.8,117.9,57.7,  3.9,30.3,  0.7,21.2,43.4,66.9,24.4,65.0
1893,  2.1,20.5,  7.8,  4.1,13.7,24.6,106.7,52.5,78.7,51.8,85.1,50.0
